模型名称,模型描述,平均推理时间(ms),平均检测数,平均置信度,估计准确率,测试图像数,总检测数
YOLOv8n_baseline,YOLOv8n基线模型（预训练）,56.0,0.2,0.086,0.269,22,5
YOLOv8n_custom,YOLOv8n自定义训练模型（ECA+Focal Loss）,52.5,2.0,0.304,0.443,22,44
