,mAP50,mAP50-95,precision,recall,eval_time
RTX 5090,0.3735241892369811,0.33617177031328294,0.19946636287334696,1.0,26.890464067459106
YOLOv8n,0.13873107434922366,0.09220731570473671,0.8987288230326709,0.13333333333333333,23.391530513763428
