实验名称,实验分组,技术组件数,核心组件,FPS,平均置信度,检测数量,性能评分,组件贡献度,复杂度
基线-COCO预训练,baseline,0,无,57.38,0.312,17,0.524,0.000,Minimal
完整技术栈,full_stack,11,"烟草数据集, ECA注意力机制, Focal Loss",109.52,0.399,40,0.659,1.000,Medium
